Student_ID,Python,Java,C++,JavaScript,HTML,CSS,React,Node.js,SQL,Database Design,Machine Learning,Deep Learning,Data Analytics,Excel,Cloud Computing,Linux,Networking,Cyber Security,Git,UI/UX Design,Career
S0001,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,AI / Machine Learning Engineer
S0002,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,AI / Machine Learning Engineer
S0003,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,AI / Machine Learning Engineer
S0004,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,AI / Machine Learning Engineer
S0005,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,AI / Machine Learning Engineer
S0006,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,AI / Machine Learning Engineer
S0007,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,AI / Machine Learning Engineer
S0008,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,AI / Machine Learning Engineer
S0009,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,AI / Machine Learning Engineer
S0010,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,AI / Machine Learning Engineer
S0011,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,AI / Machine Learning Engineer
S0012,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,AI / Machine Learning Engineer
S0013,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,AI / Machine Learning Engineer
S0014,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,AI / Machine Learning Engineer
S0015,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,AI / Machine Learning Engineer
S0016,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,AI / Machine Learning Engineer
S0017,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,AI / Machine Learning Engineer
S0018,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,AI / Machine Learning Engineer
